제목,내용,조회수,첨부파일명,첨부파일 링크,출처
"KT, 5G 가상화 핵심기술 기업용 LTE망에 선제적용","KT가 5G 핵심기술 '네트워크 슬라이스'를 효율적으로 관리하는 기술(E2E 인프라 오케스트레이터)을 기업전용 LTE48 망에 적용했다. 네트워크 슬라이스는 차량, 사물인터넷80(IoT), 모바일 등 단말별 특성에 따라 네트워크를 분배, 공유해 관리하는 기술이다.  'E2E 인프라 오케스트레이터'는 단말에서 코어 장비까지 모든 네트워크 구간을 가상화 기술로 연결해 5G 네트워크를 신속하게 제공하는 총괄 시스템이다.",34,,,전자신문
"KT “2030년 5G 사회경제적 가치, 최소 47조 이상”","o 5세대(5G) 이동통신이 제공하는 사회경제적 가치가 2025년 최소 30조3235억원, 2030년 최소 47조7527억원에 이를 것으로 전망됐다. 이는 해당연도 예상 국내총생산(GDP) 2% 수준이다.또 가시화된 서비스 중심으로 수치화 가능한 편익만을 추정한 것으로 새롭게 등장할 서비스를 감안하면 보다 큰 사회경제적 효과를 기대할 수 있다. KT는 5G 도입에 따른 주요 산업 및 환경 변화와 5G가 제공하는 사회경제적 가치를 분석한 '5G 사회경제적 파급효과 분석' 보고서를 출간했다.",25,,,전자신문
"맥크리오트, LTE 차량영상저장장치 일본 첫 수출","o 맥크리오트가 사물인터넷80(IoT) 기반 관제형 차량영상저장장치(드라이브 레코더)를 일본에 수출한다. 롱텀에벌루션(LTE48) 모뎀 등 국산 통신 장비를 탑재, 수출 효과를 배가했다.IoT 기기·솔루션 개발업체 맥크리오트는 일본 IoT 사업자 닛쇼(NISSHO)에 LTE 통신을 활용한 차량영상저장장치 공급을 시작했다. 공급 물량은 총 5만대다.차량영상장치는 전·후방 2채널 카메라와 LTE모뎀, 안테나를 내장, 위성항법장치(GPS) 데이터를 관제센터에 전송한다. 차량 사고, 운전자 상태, 운전 패턴 등 운행 정보를 클라우드 센터에 전송해 빅데이터78 관리가 가능하다.",20,,,전자신문
"삼성전자, 5G 장비 국내 1위 자신 ···· ""3.5㎓ 장비 안심해도 된다""",o 삼성전자가 국내 5세대(5G) 이동통신 전국망 주파수 대역인 3.5㎓ 장비를 이통사 상용화 일정에 맞춰 차질 없이 공급하겠다고 밝혔다. 5G 장비 시장점유율을 롱텀에벌루션(LTE48)보다 높여 국내 무선통신장비 시장 1위를 수성한다는 계획이다. 김영기 삼성전자 네트워크사업부장(사장)은 “(삼성전자가) 5G 장비를 혁신하고 창의적 기술을 제공하면 시장점유율이 확대될 것”이라며 “LTE 때보다 5G 장비 시장 점유율이 상승할 것으로 예상한다”고 말했다. 국내 5G 장비 시장 절반을 차지하겠다는 의지로 LTE 장비 시장에서 삼성전자 점유율은 40%대로 추정된다. 김 사장은 “5G 장비 공급으로 올해와 내년 두 자릿수 이상 매출 성장률을 달성하겠다”고 밝혔다. 삼성전자는 지난해에도 전년 대비 두 자릿수 이상 성장률을 기록한 것으로 알려졌다.,17,,,전자신문
재난문자 불가 2G폰 전환가입 1만명 미만···2G 종료 '험로' 예고,"o 긴급재난문자 수신이 불가능한 2세대(2G) 휴대폰 가입자를 대상으로 한 무상교체 프로그램에도 불구하고 전환 가입자 수가 1만명에도 미치지 못한 것으로 드러났다.SK텔레콤과 LG유플러스는 정부의 '국민 재난안전 특별대책'에 따라 3월 27일부터 9월까지 구형 2G 단말기를 보유한 약 60만명(SK텔레콤 59만명·LG유플러스 3000명)을 대상으로 롱텀에벌루션(LTE48)폰 무상교체를 하고 있다. 프로모션 기간 3개월이 지났지만 전환가입률은 2%에 미치지 못 했다.과학기술정보통신부가 이동통신 단말기유통구조개선법(단통법410)과 전기통신사업법을 유연하게 적용, 가입자 전환을 지원한 것을 감안하면 저조한 실적이다.",13,,,전자신문
고속도로에 로라 기반 IoT 망 구축된다,"한국도로공사가 고속도로에 '로라(LoRa)' 망을 구축한다. 기존 이동통신사 망을 대체, 스마트가로등·비탈면경보시스템·졸음쉼터정보안내 등 사물인터넷80(IoT) 서비스 운영 비용을 최소화할 계획이다. 한국도로공사는 고속도로 IoT 통신망 시스템 구축 시범 사업을 추진한다. 사전 규격으로 저전력 소물인터넷 '로라'를 제시, 대구-포항 간 고속도로(북영천-포항 JC 구간)에 우선 적용한다.사업은 917~923㎒ 대역 로라 전용 안테나를 이용, 고속도로에 설치된 IoT 기기와 서버 간 통신이 가능한 유·무선망을 구축하는 게 핵심이다.   고속도로 가로등을 원격 제어하는 스마트 가로등, 비탈면 붕괴 등 재해를 사전 감지하는 비탈면 경보시스템, 지진 감지시스템, 졸음쉼터 현황을 파악하는 안내시스템 등 다양한 IoT와 접목돼 고속도로 이용자와 관리자에게 서비스한다.",19,,,전자신문
"KT, 와이브로 종료 행정 협의 시작···""사전 기준부터 정립해야""","KT가 내년 3월 와이브로166 종료 방침을 확정하고 과학기술정보통신부와 협의를 시작한 것으로 확인됐다.   KT는 과기정통부 전파정책국과 주파수 2.3㎓(30㎒폭) 회수 협의, 통신정책국과 사업권 회수 논의에 각각 착수했다.   정부와 협의가 완료되면 KT는 와이브로 종료 계획을 이용자에게 공식 발표할 계획이다.   KT 고위 관계자는 “주파수 할당226 기간이 만료되는 2019년 3월 와이브로를 종료하기로 방침을 확정했다”면서 “행정 절차를 조율하기 위해 정부와 협의하고 있다”고 말했다.  KT와 과기정통부 협의 결과는 또 다른 와이브로 사업자 SK텔레콤에도 적용될 것으로 보인다.   5월 말 기준 와이브로 가입자는 25만여명이다. KT가 22만여명, SK텔레콤이 3만3000여명이다. 와이브로에 이어 2019년 6월 주파수공용통신(TRS), 2021년 6월 2세대(2G) 이동통신 주파수 할당 기간이 각각 종료된다.",16,,,전자신문
"콘텔라, 중국 공략...""5G 스몰셀 공급 준비""","콘텔라가 중국에 진출했다. 중소 무선 통신망 구축과 사물인터넷80(IoT) 사업을 시작으로 5세대(5G) 이동통신 장비 수출도 타진한다. 콘텔라는 중국 지사를 설립, 현지 인력을 채용했다. 콘텔라 주력 통신장비인 소형기지국(스몰셀)과 로라 IoT 기기, 코어망 게이트웨이 장비 등을 판매할 계획이다. 콘텔라 해외 지사는 일본에 이어 두 번째다. 앞서 콘텔라는 차이나텔레콤, 차이나모바일, 차이나유니콤 등 중국 주요통신사와 망 연동 테스트를 했다. 중국 현지 맞춤형 장비를 공급하기 위해 성능을 개선하고 기능도 변경했다.",17,,,전자신문
필수설비 공동구축 관리기관 '중앙전파관리소' 유력,과학기술정보통신부가 중앙전파관리소를 필수설비 공동구축 전담기관으로 지정한다. 정부 관리·감독을 강화해 필수설비 공동구축·활용 제도 실효성을 높이기 위한 포석이다.과기정통부 관계자는 2일 “필수설비 고시 개정에 따라 전담기관을 기존 한국통신사업자연합회(KTOA)에서 중앙전파관리소로 변경하는 방안을 검토 중”이라고 말했다.필수설비 공동구축 고시는 건물을 신축할 때 통신사 간 정보를 공유해 관로·광케이블·전주 등 설비구축 비용을 줄이고 공정하게 활용하도록 전담기관을 둘 수 있도록 규정했다.   연면적 1000㎡ 이상 또는 3층 이상 건물은 의무적으로 필수설비를 공동구축하도록 했다.기존 전담기관 역할은 데이터베이스 공유 등 '지원' 기능만 갖추고 있었지만 '점검·관리' 기능을 추가하기로 했다.,11,,,전자신문
대한민국 휴대전화 서비스 '30돌' 맞았다,"우리나라 휴대폰 서비스가 30돌을 맞았다. SK텔레콤 전신 한국이동통신은 1988년 7월 1일 아날로그(AMPS) 기술로 휴대폰 서비스를 처음 선보였다. AMPS 방식은 1세대 이동통신 기술로, 1984년 카폰(차량전화)에 처음 적용됐다.국내 최초 휴대폰은 이른바 '벽돌폰'이다. 무게가 771ｇ으로 5.5인치 스마트폰 4개 이상을 합친 것과 비슷하다.   당시 가격은 약 400만원. 설치비 60여만원까지 포함하면 1988년 서울 일부 지역 전셋값과 맞먹는다. 30년 전 '벽돌폰'은 현재 스마트워치, 자율주행차, 인공지능 스피커 등 '만물'로 무한 확대 중이다. 휴대폰 서비스 첫 해 784명에 불과했던 휴대전화 가입자 수는 1991년 10만명, 1999년 2000만명을 돌파, 2018년 4월 기준 6460만627명에 달한다. 전체 인구수를 넘어선지는 8년이 넘었다. SK텔레콤은 1996년 세계 최초 코드분할다중접속(CDMA) 상용화, 2002년 세계 최초 CDMA 2000 서비스 상용화, 2013년 세계 최초 LTE48-A 상용화 등을 통해 이동통신 서비스 진화를 선도했다.",17,,,전자신문
"한국도로공사, 국산 전송장비로 ITS 고도화","한국도로공사가 고속도로 지능형교통시스템(ITS) 고도화에 국산 전송장비를 도입한다. 외산 전송장비를 사전 규격으로 제시, 국내 전송장비를 원천 배제하는 일부 공공기관과 상반되는 행보다. 한국도로공사는 고속도로 ITS 고도화 등을 위한 '2018년 광전송장비(PTN) 제조구매' 사업 사전 규격으로 'MPLS-TP'를 제안했다. MPSL-TP는 외산 업체가 공급하는 'IP-MPLS'와 달리 국내 전송장비업체가 제조·공급한다. 이에 따라 사업은 국내 업체 간 경쟁으로 전개될 전망이다.",16,,,전자신문
"화웨이 ""5G 특허료 낮춘다""···내년 9월 5G 스마트폰 출시",화웨이가 5세대(5G) 이동통신 승부수로 '특허'를 전면에 내세웠다. 대규모 연구개발(R&D) 투자로 확보한 5G 특허를 저렴한 가격에 제공할 계획이다.   5G 핵심 기술에 대한 화웨이 의존도 심화가 불가피할 전망이다. 에릭 수 화웨이 순환 회장은 27일 중국 상하이에서 개막한 'MWC 상하이 2018' 기조연설에서 “5G 특허 라이선스 비용을 4G 대비 낮추겠다”면서 “화웨이는 우수한 5G 특허 소유자로 적극적으로 (기술을) 개방해 평등하고 건강한 5G 생태계를 구축하겠다”고 밝혔다.,16,,,전자신문
"""5G장비 20kg로""...이통사, 장비 경량·소형화 요구","SK텔레콤·KT·LG유플러스 이통 3사가 통신장비업체에 발송한 5G 통신장비 제안요청서(RFP) 공통 사항으로 장비 경량·소형화가 포함된 것으로 확인됐다.5G 장비 선정 과정에서 성능뿐만 아니라 무게와 크기 등 하드웨어 요소가 주요 척도가 될 전망이다. 장비별 세부 규격은 통신사마다 차이가 있지만 대용량다중입출력장치(Masssive-MIMO60) 등 기지국 핵심 장비는 개당 20㎏ 내외, 크기는(폭 기준) 40㎝ 내외로 요구했다. 기존 롱텀에벌루션(LTE48)용 통신장비(40㎏ 내외) 절반 수준이다. 이는 5G 통신장비 경량·소형화가 CAPEX와 직결되기 때문이다. 이통사가 요구한 20kg 내외 무게는 한 사람이 장비를 옮기거나 설치할 수 있는 최소 단위로 '원 맨 시프트(One Man Shift)'라 불린다.",30,,,전자신문
5G 주파수 3.5GHz 대역 100:100:80MHz 폭으로 분배,"5세대(5G) 이동통신 상용화를 위한 첫 주파수 경매에서 SK텔레콤, KT, LG유플러스가 3.5㎓ 대역(280㎒ 폭)에서 각각 100㎒, 100㎒, 80㎒ 폭을 확보했다.   앞서 28㎓ 대역(2400㎒폭)은 3사가 800㎒ 폭씩 균등하게 낙찰받았다. 3.5㎓와 28㎓를 합한 총 낙찰가는 3조6183억원으로, 최저경쟁가격인 3조2760억원보다 3423억원 상승했다. 이동통신 3사는 확보한 주파수를 기반으로 내년 3월 세계 최초 5G 상용화에 박차를 가할 수 있게 됐다. 과학기술정보통신부는 18일 '2018 5G 주파수 경매' 2일차 9라운드에서 3.5㎓ 대역 종료됐다며, 최종 결과를 발표했다. 3.5㎓ 대역 총 28개 블록(각 10㎒ 폭) 중 SK텔레콤과 KT, LG유플러스가 각각 10개, 10개, 8개씩 확보, 100㎒, 100㎒, 80㎒ 폭으로 분배됐다. 블록당 가격은 968억원으로 최저경쟁가격인 948억원에서 20억원 상승했다. 블록 전체로는 560억원이 올랐다.",28,,,전자신문
[이슈분석]5G 상용화 행보 빨라진다,"5G 주파수 경매가 종료됨에 따라 내년 3월로 예정된 세계 최초 5G 상용화 준비에 속도가 붙을 것으로 예상된다. 이동통신 서비스 사업자는 물론 정부 행보도 빨라질 전망이다.5G 주파수 이용 기간은 3.5㎓이 2018년 12월 1일부터 10년, 28Gbps 대역은 2018년 12월 1일부터 5년이다. 과기정통부는 12월 이전에 기술기준을 완성하고 적합성 평가 등 제도 개선을 추진한다.   앞서 지난달 5G 서비스를 위한 '전기통신사업용 무선설비의 기술기준 개정(안)' 고시를 행정 예고했다.   국제표준과 국내 전파 환경을 고려, 5G 주파수 활용을 위해 기지국과 이동국(단말기) 전파 활용 관련 제반 규칙을 망라했다.",28,,,전자신문
"5G 주파수경매 1일차 결과···""3.5㎓ 탐색전 치열, 28㎓ 1단계 종료""","5세대(5G) 이동통신 주파수경매 첫날, SK텔레콤과 KT, LG유플러스가 3.5㎓ 대역 경매에 6라운드까지 입찰하며 접전을 벌였다. 28㎓ 대역 경매는 첫 라운드만에 종료됐다.과학기술정보통신부는 15일 5G 주파수경매 3.5㎓ 대역 1단계 클락입찰을 6라운드까지 진행한 결과, 1개 블록(10㎒폭)당 가격이 957억원으로 상승했다고 밝혔다.3.5㎓ 대역 경매는 경매 참가자의 수요가 공급 대역폭보다 더 큰 상황에서 종료됐다. 블록당가격은 최저경쟁가격 948억원에 비해 9억원 올랐다. 과기정통부가 제시한 입찰 증분이 0.3~0.7%임을 고려할 때 정부는 라운드별로 최소증분을 적용하며 경쟁을 유도했다는 분석이다.",22,,,전자신문
'남북주파수협력위원회' 만든다,"과학기술정보통신부가 '남북 주파수협력위원회(가칭·이하 주파수위원회)' 구성을 추진한다. 남·북 주파수를 연결해 4차 산업혁명과 정보통신기술(ICT) 포괄 협력 기반을 마련하기 위한 포석이다. 과기정통부는 '남북 주파수협력위원회 구성(안)'을 한반도 신경제지도 세부과제로 준비하고 있다. 주파수위원회는 남북 주파수 정책 담당자와 전문가가 참여하는 협의체다.과기정통부는 내년 초 부산에서 열리는 '2019년 아시아태평양 세계전파총회 준비회의(APG-19)' 에 북한 전파정책 담당자와 전문가를 초청, 남북 전파 분야 협력체계 마련을 목표로 주파수 위원회를 제안할 방침이다.",23,,,전자신문
"3GPP, 5G 글로벌 표준 완성","5세대 이동통신(5G) 1차 표준이 확정됐다. 무선부터 유선 핵심망까지 4G LTE48에 의존하지 않고 5G 독립적으로 사용되는 최초 표준이다. 우리나라는 한국정보통신기술협회(TTA)를 포함, SK텔레콤과 KT, LG유플러스가 표준화에 기여, 5G 기술 주도권 확보를 위한 유리한 고지를 선점했다. TTA는 13일(현지시간) 미국 샌디에고에서 열린 3GPP66 기술총회에서 5세대(5G) 이동통신 표준(릴리즈 15)이 승인됐다고 밝혔다. 〈본지 5월 30일자 8면 참조〉3GPP는 ITU16가 정의한 5G 이동통신 기술로 2020년 국제표준 제정을 계획하고 있다.",22,,,전자신문
운명의 날 밝았다...5G 주파수 경매 시작,"5세대(5G) 이동통신 서비스 경쟁력을 좌우할 운명의 날이 밝았다.과학기술정보통신부는 15일 한국정보통신기술협회(TTA)에서 SK텔레콤, KT, LG유플러스가 참가한 가운데 '2018 5G 주파수 경매'를 시작한다. 이에 앞서 3사는 지난 4일 주파수 할당226 신청서를 제출하면서 5G 주파수 확보에 강한 자신감과 의지를 피력, 한 치 양보 없는 싸움을 예고했다.",18,,,전자신문
한국 28㎓ 주도권 강화···남미도 28㎓ 대열 합류,"한국과 미국, 일본에 이어 멕시코와 캐나다 등 세계 주요 국가가 28㎓ 대역 5세대(5G) 이동통신 대열에 합류한다. 세계에서 가장 먼저 28㎓ 대역을 5G 용도로 개척한 우리나라 기술 주도권이 강화될 것으로 기대된다. 과학기술정보통신부와 한국정보통신기술협회(TTA)는 12일 멕시코 칸쿤에서 열리는 '5G 28㎓ 프런티어 제4차 워크숍'에 참가한다. 5G 28㎓ 프런티어는 28㎓ 대역 세계시장 확산을 위한 한·미·일 정부와 민간사업자가 결성한 연합체다. 4차 회의는 내년 5G 상용화를 앞두고 기술 준비 상황과 글로벌 시장 확산 현황을 점검하고 전략적 협력을 모색한다.",21,,,전자신문
"이통 3사, 5G 주파수 할당신청 모두 '적격'···경매 1주일 앞으로","이동통신 3사가 5세대(5G) 이동통신 주파수 할당226을 위한 적격심사를 통과했다.과학기술정보통신부는 SK텔레콤, KT, LG유플러스의 주파수 할당신청 적격 여부를 검토한 결과 3사 모두 적격 대상에 해당되며, 각 이동통신사에 통보할 예정이라고 8일 밝혔다.주파수경매 참여대상이 확정됨에 따라 과기정통부는 15일 오전 9시부터 한국정보통신기술협회(TTA)에서 주파수경매를 시작할 예정이다.",20,,,전자신문
"5G 주파수 확보 레이스 시작...이통사, 경매 출사표","5세대(5G) 이동통신 주파수 확보 전쟁이 시작됐다. SK텔레콤, KT, LG유플러스는 4일 과학기술정보통신부에 '5G 이동통신용 주파수 할당226신청서'를 제출했다.   주파수 확보가 5G 서비스 경쟁력과 직결되는 만큼 이통 서비스 사업자는 3.5㎓ 대역과 28㎓ 대역에서 원하는 최대치를 확보해야 한다. 차기 5G 주파수 경매 시점을 예측할 수 없어 이통 3사 의지는 비장할 정도다.",21,,,전자신문
"이노넷, 전남 도서산간에 TVWS 초고속 인터넷 공급","이노넷이 전라남도 도서 산간 100개 이상 지역에 TV 유휴대역(TV 화이트 스페이스, TVWS)을 이용한 초고속 사물인터넷80(IoT) 망을 구축한다. 유선 인터넷 구축이 힘든 지역에서 와이파이 등 인터넷 서비스도 가능해질 전망이다. 이노넷은 전남도청, 국민 통신과 12월까지 정보통신산업진흥원(NIPA) '2018 사물인터넷 제품·서비스 검증·확산 사업'에 참여한다.   인터넷 환경 조성이 어려운 도서 산간 소규모 마을, 귀농·귀촌 지역, 양식장, 축사, 농가 등을 대상으로 와이파이 서비스를 제공한다.",17,,,전자신문
"과기정통부, 5G 기술 기준 세계 최초 완성","과학기술정보통신부가 5세대(5G) 이동통신 서비스를 위한 기술 기준을 세계 최초로 완성했다. 5G 주파수 효율을 극대화하고 전파 간섭 없이 안정되게 이용할 수 있는 네트워크 운영 규칙으로, 글로벌 참조 모델이 될 전망이다. 과기정통부와 국립전파연구원은 5G 서비스를 위한 '전기통신사업용 무선설비의 기술기준 개정(안)' 고시를 행정 예고했다.   3.5㎓와 28㎒ 대역에서 5G 무선설비의 기술 기준 관련 조항을 신설하는 게 핵심이다. 기술 기준은 국제표준과 국내 전파 환경을 고려해 개발했다. 5G 주파수 활용을 위해 기지국과 이동국(단말기) 전파 활용 관련 제반 규칙을 망라했다.기본 규칙으로 5G 주파수는 직교주파수분할 다중접속(OFDM235) 기술을 적용해 업로드·다운로드 간 이격이 없는 시분할(TDD) 방식으로 활용토록 했다.   3.5㎓ 주파수 대역으로 3420~3700㎒ 범위 내에서 대역폭을 최소 10㎒ 폭에서 최대 100㎒ 폭까지 사용할 수 있도록 규정했다. 28㎓는 26.5∼29.5㎓ 범위 내에서 100㎒, 200㎒, 400㎒ 폭을 사용하도록 기준을 정했다.",23,,,전자신문
5G 주파수 할당신청 접수마감 임박···최대 이슈는 '간섭 방지',"o 5세대(5G) 이동통신 주파수 경매를 위한 주파수 할당신청서 접수 마감(6월 4일 18시)이 사흘 앞으로 다가왔다. 신청서 제출은 5G 주파수 확보 레이스 신호탄이다. 이동통신사는 신청서 제출과 함께 본격적으로 경매전략 마련에 착수한다. 이통 3사는 제출서류 리뷰 등 막바지 점검이 한창이다. 과학기술정보통신부는 할당신청서를 중심으로 적격여부를 심사한다. 무난한 통과가 예상되지만 사소한 실수로 경매 참여에 차질을 빚을 수도 있는 만큼 이통사는 신중함을 견지하고 있다. 주파수 할당 신청 절차 및 방법 등 세부사항 고시(2018년 4월12일 개정)에 따르면 할당신청서류에는 희망 대역과 용량을 담은 '주파수 할당신청서'와 '주파수 이용계획서', 할당공고에서 정하는 서류가 포함된다.",17,,,전자신문
'스탠드얼론(SA)' 포함 5G 1차 표준 완성,"5세대(5G) 이동통신 1차 표준이 완성됐다. 5G 시대 전환을 위한 기술 표준이 완비됐다는 의미로, 기술 개발에 속도가 붙을 전망이다. 국제표준화단체 3GPP66는 부산에서 열린 실무그룹(RAN 워킹그룹) 회의에서 5G 1차 표준을 완성했다. 내달 11일 미국 샌디에이고 총회에서 최종 승인하지만 형식적인 절차라 5G 1차 표준 개발이 사실상 마무리됐다. 실무그룹은 5G 단독모드 '스탠드얼론(SA)'을 비롯해 초고속·초저지연을 위한 무선접속 기술, 단말과 기지국 전파방사 요구사항, 5G 단말 평가방법 등을 확정했다. 3.5㎓와 28㎓ 등 주파수 대역별 전파출력도 결정했다.",14,,,전자신문
"4차 특위 ""5G·IoT 세제 혜택 입법 필요”···빅데이터 활성화도 권고","국회 4차산업혁명특별위원회(4차 특위)가 5세대(5G) 이동통신, 사물인터넷80, 클라우드 인프라 구축에 대한 세제지원(안) 입법을 권고했다. 4차 산업혁명 시대 핵심 자원인 빅데이터78 활용을 비롯해 네거티브 규제 전환을 위한 정책 개선, 입법 과제도 제안했다.국회 4차 특위는 28일 제15차 전체회의를 개최하고 '4차 특위 활동결과보고서'를 채택하며 6개월 일정 활동을 마무리했다. 4차 특위는 △창업 △혁신생태계 △인적자본 △공정거래 △규제개혁 △사회안전망 6대 분야에서 105건 정책권고(안)과 47건 입법권고(안)을 채택했다. 국가 차원 장기 정책 해결 과제를 담은 '4차 산업혁명 국가로드맵'도 포함했다.",21,,,전자신문
"코리아 5G, 2018 아시안게임에서 선보인다",우리나라가 오는 8월에 열리는 아시안게임에서 5세대(5G) 이동통신 서비스를 선보인다.2018 평창 동계올림픽에 이어 글로벌 시장에 5G 기술 선도 국가 이미지를 각인시킬 계기가 될 것으로 기대된다. 과학기술정보통신부는 '2018 인도네시아 자카르타-팔렘방 아시안게임'에 5G 서비스 제공을 위한 긴급 입찰을 진행하고 있다.,21,,,전자신문
"[국제]양자컴퓨터는 과거 정보도 열어볼 수 있다···""롱텀 시큐리티 필요""",'해커는 정보를 보관했다가 양자컴퓨터가 나오면 열어볼 것이다.' '롱텀 시큐리티(장기보안)'가 화두로 부상했다.   당장은 암호를 풀지 못하는 정보를 빼내 보관하다가 양자컴퓨터가 등장하면 해킹이 가능하기 때문에 기존 정보보안에 '시간'이라는 개념을 추가해야 한다는 경고다.   양자컴퓨터 등장 시점이 5년 이상 남았지만 미리 대비하지 않으면 피해를 입을 수 있다는 충고다. IBM은 미국 샌프란시스코 처칠 클럽에서 열린 콘퍼런스에서 “양자컴퓨터는 오늘날 가장 강력한 보안기술로 보호되는 데이터도 즉각 해킹할 수 있다”고 진단했다.어빈 크리쉬나 IBM리서치 이사는 “10년 이상 데이터를 안전하게 보호하기를 원한다면 지금 당장 암호체계를 바꿔야 한다”고 조언했다. IBM 경고는 양자산업계에서 '롱텀 시큐리티'라는 용어로 알려진 개념이다.,19,,,전자신문
"SKT, 자율주행차용 세계 표준 초정밀지도 제작 주도","SK텔레콤이 유럽·중국·일본 초정밀 지도 대표 기업과 글로벌 표준 HD맵을 제작한다. SK텔레콤은 유럽 히어(HERE), 중국 내브인포, 일본 파이오니아와 초정밀지도(HD맵) 제작을 위한 '원맵 얼라이언스463'를 결성했다. HD맵은 기존 지도와 달리 '센티미터(㎝)' 단위 정밀측위가 가능하며 차선·주변사물·신호등·교통표지판 등의 정보를 모두 담을 수 있다.   주행 경로를 사전 예측할 수 있어 더욱 안전한 자율주행이 가능해진다. 자율주행차에 없어서는 안 될 필수 기술로 평가된다.",20,,,전자신문
"[이슈분석]3.5GHz, 100㎒:90㎒:90㎒ 분배 확률 70%","5세대(5G) 이동통신 주파수 경매는 주파수 양(블록 수)을 결정하는 1단계와 위치를 결정하는 2단계로 나눠 진행하는 클락 경매 방식으로 진행된다. 3.5㎓는 10㎒씩 28개 블록, 28㎓는 100㎒씩 24개 블록으로 나눴다. 1개 이통사가 각각 100㎒폭과 1000㎒폭까지 낙찰 받을 수 있다.",24,,,전자신문
"서울지하철 2·5호선 LTE-R, 2단계 최저가 발주","서울교통공사가 지하철 2·5호선 철도통합망(LTE48-R) 사업에 2단계 최저가 입찰 방식을 예고했다. 통합공공망(재난·철도·해상) 중 하나로, 국가기간망과 마찬가지인 LTE-R502에 화웨이 무선통신 장비 도입 가능성이 커졌다. 서울교통공사는 2호선과 5호선 '열차무선 시스템 개량(LTE-R) 사업' 사전규격서를 각각 공지했다. LTE-R 사업 처음으로 2단계 최저가 입찰 방식을 적용하겠다고 밝혔다.2단계 최저가 입찰은 1단계 기술평가에서 일정 수준 이상 점수를 받은 업체를 선별, 2단계에서 최저가 제안 업체를 선정한다. 국방 분야 등에서 기능이 단순한 장비를 구매할 때 예산 절감을 위해 사용한다.",29,,,전자신문
SKT·KT 월드IT쇼 2018 참가···5G 혁신서비스 경연장,"SK텔레콤과 KT가 국내최대 정보통신기술(ICT) 전시회 '월드IT쇼 2018(WIS88 2018)'에서 5세대(5G) 이동통신 혁신기술과 융합서비스를 선보인다.    SK텔레콤은 '5G 생활의 순간을 잡다(Capture a Moment In 5G Life)'를 주제로 최대규모 전시관을 마련했다. SK텔레콤은 5G 시대 교통혁명 기반이 될 'HD맵'을 공개한다.맵 제작 차량을 전시, 차량이 5G 망과 센서를 통해 다양한 사물의 정보를 인식하는 모습을 대형 디스플레이를 통해 시각적으로 구현한다.",18,,,전자신문
[국제]미국 2.5GHz 대역 5G용도 확정···차세대 5G 주파수 힘받나,"미국이 2.5㎓ 대역을 5세대(5G) 이동통신용으로 확정했다. 미국 상용화를 계기로 글로벌 시장에서 2.5㎓가 차세대 5G 황금주파수로 부상할 지 주목된다.미국 연방통신위원회(FCC)는 교육용브로드밴드서비스(EBS) 용도로 활용 중인 2.5㎓(2496~2690㎒) 대역을 5G 서비스 용도로 추가하는 주파수활용계획(안)을 입법예고했다.FCC는 2.5㎓대역을 일부 국경 또는 원주민 거주지역, 교육기관 수요를 제외하고 상업적 활용을 전면 허용한다. 입법 예고 기간 의견 수렴을 거쳐 경매계획을 수립해 이동통신 서비스 사업자에 5G 용도로 분배하는 일정을 확정한다.",16,,,전자신문
유선통신장비업계도 '5G 기술 확보' 속도전,유선 통신장비업체가 5세대(5G) 통신 기술 확보에 돌입했다. 기지국 등 이동통신 인프라를 뒷받침할 유선망 고도화에 대비하려는 전략이다. 이르면 하반기부터 통신사와 연계한 망 연동 등 테스트에 착수할 전망이다. 다산네트웍스와 유비쿼스는 5G 유선통신장비 개발을 본격화한다.   다산네트웍스는 'TSN(Time Sensitive Network)' 기술을 상용화할 예정이다.   TSN은 패킷 전송 시간 정확도를 높여 5G 핵심 서비스인 초저지연 통신을 구현한다. 초고속 데이터 전송과 5G 서비스 구현을 위한 네트워크기능가상화(VNF) 기술도 스위치와 라우터 장비에 탑재할 계획이다.유비쿼스는 소프트웨어와 하드웨어를 분리해 네트워크 운용 효율성을 극대화한 소프트웨어정의네트워크460(SDN100) 기술 고도화로 5G 통신 시장에 대응한다. 가입자단에서 5G 통신을 지원하는 액세스망 백홀72 장비 개발에도 착수했다.,28,,,전자신문
정부가 2년마다 통신비 정한다···이통사 '패닉',정부가 2년마다 이동통신 요금을 사실상 결정할 수 있는 초강력 규제를 담은 보편요금제 법안이 규제개혁위원회를 통과했다. 이동통신사업자가 연간 수조 원의 매출 감소에 직면할 수 있어 통신 업계에 비상이 걸렸다.이 법안이 국회를 최종 통과할 수 있을지 관심이 집중된다.규제개혁위원회는 11일 제413회 회의를 개최하고 보편요금제 도입을 골자로 한 전기통신사업법 개정안을 원안 동의 의결했다.,26,,,전자신문
"SK브로드밴드, 국내최초 2.5기가 초고속인터넷 서비스 상용화","SK브로드밴드는 10일 서울 중구 본사에서 기자간담회를 열고 2.5기가 초고속인터넷 서비스 상용화를 발표했다.    기가 프리미엄 서비스는 스마트폰, AI 스피커, WiFi 등 멀티미디어 단말기 동시 사용 및 대용량 콘텐츠에 맞춰 가구당 2.5기가 인터넷 속도를 제공한다.",20,,,전자신문
